yes_no_binary__has_document,yes_no_binary__avtodayanacaq,yes_no_binary__balkon,yes_no_binary__duzelme,yes_no_binary__esyali,yes_no_binary__hovuz,yes_no_binary__internet,yes_no_binary__isiq,yes_no_binary__kabel_tv,yes_no_binary__kombi,yes_no_binary__kondisioner,yes_no_binary__lift,yes_no_binary__merkezi_qizdirici_sistem,yes_no_binary__metbex_mebeli,yes_no_binary__pvc_pencere,yes_no_binary__qaz,yes_no_binary__su,yes_no_binary__telefon,yes_no_binary__temirsiz,cat_ohe__cities_Bakı,cat_ohe__cities_Lənkəran,cat_ohe__cities_Qəbələ,cat_ohe__cities_Siyazən,cat_ohe__cities_Sumqayıt,cat_ohe__cities_Xırdalan,cat_freq__raion_freq,num__price,num__rooms,num__area_m2,num__land_area_sot,num__floor,num__log_area_m2_v3,cat_bin__area_q5_v3,num__log_land_area_sot_v3,num__log_floor_v3,cat_bin__rooms_q4_v3,num__area_per_room_v3,num__rooms_per_area_v3,num__area_x_rooms_v3,num__area_x_floor_v3,num__floor_over_log_area_v3,num__land_to_area_ratio_v3,num__land_x_area_v3,num__area_bin_x_rooms_bin_v3,num__amenity_count_v3,num__comfort_score_v3,num__utility_score_v3,num__comfort_x_rooms_v3,num__utility_per_area_v3,num__log_raion_freq_v3,num__raionfreq_x_logarea_v3
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14402173913043478,148000.0,3.0,55.0,0.0,5.0,4.02535169073515,1.0,0.0,1.791759469228055,2.0,18.33332722222426,0.05454545355371903,165.0,275.0,1.242127183416281,0.0,0.0,12.0,14.0,5.0,5.0,15.0,0.09090908925619838,0.13454989551345048,0.5797381511113123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,9900.0,2.0,72.0,0.0,10.0,4.290459441148391,2.0,0.0,2.3978952727983707,0.0,35.999982000009,0.027777777391975313,144.0,720.0,2.330752173844396,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.7247922878389266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,9900.0,2.0,60.0,0.0,6.0,4.110873864173311,1.0,0.0,1.9459101490553132,0.0,29.9999850000075,0.03333333277777779,120.0,360.0,1.4595433328050447,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.6944546881053646
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,9900.0,3.0,90.0,0.0,7.0,4.51085950651685,3.0,0.0,2.0794415416798357,2.0,29.999990000003333,0.03333333296296297,270.0,630.0,1.551810345251662,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.762024726417928
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,24000.0,3.0,77.0,0.0,5.0,4.356708826689592,2.0,0.0,1.791759469228055,2.0,25.66665811111396,0.03896103845505145,231.0,385.0,1.1476550421994036,0.0,0.0,22.0,14.0,7.0,5.0,21.0,0.06493506409175241,0.15608979232162795,0.7359838733492834
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,92000.0,2.0,57.0,0.0,4.0,4.060443010546419,1.0,0.0,1.6094379124341003,0.0,28.499985750007124,0.035087718682671604,114.0,228.0,0.9851139406455489,0.0,0.0,10.0,11.0,5.0,5.0,10.0,0.08771929670667901,0.1285939517605991,0.5572075326972667
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,54500.0,2.0,29.0,0.0,3.0,3.4011973816621555,0.0,0.0,1.3862943611198906,0.0,14.499992750003624,0.06896551486325811,58.0,87.0,0.8820420520528146,0.0,0.0,0.0,10.0,4.0,5.0,8.0,0.17241378715814526,0.1285939517605991,0.46674040155961644
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,25100.0,3.0,129.8,0.0,5.0,4.873669439023098,4.0,0.0,1.791759469228055,2.0,43.266652244449254,0.023112480561537127,389.40000000000003,649.0,1.0259208254964043,0.0,0.0,42.0,13.0,6.0,5.0,18.0,0.038520800935895216,0.15608979232162795,0.8233146289654056
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,107000.0,3.0,130.0,0.0,15.0,4.875197323201151,4.0,0.0,2.772588722239781,2.0,43.3333188888937,0.023076922899408287,390.0,1950.0,3.076797907608137,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.8235727362110641
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,104999.0,3.0,129.8,0.0,15.0,4.873669439023098,4.0,0.0,2.772588722239781,2.0,43.266652244449254,0.023112480561537127,389.40000000000003,1947.0000000000002,3.077762476489213,0.0,0.0,42.0,13.0,6.0,6.0,18.0,0.046224961123074254,0.15608979232162795,0.8233146289654056
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,27000.0,3.0,129.8,0.0,3.0,4.873669439023098,4.0,0.0,1.3862943611198906,2.0,43.266652244449254,0.023112480561537127,389.40000000000003,389.40000000000003,0.6155524952978425,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.8233146289654056
