house_id,num__city_te_v6,num__district_te_v6,num__neighborhood_te_v6,num__metro_te_v6,num__metro_present_v6,num__location_te_mean_v6,num__district_to_city_ratio_v6,num__metro_to_district_ratio_v6,num__locmean_x_logarea_v6,num__locmean_x_rooms_v6
4803,173673.43080244618,85549.24393695677,89864.82146847447,112477.50920402698,0.0,115391.2513529761,0.4925868254066829,1.314769178855625,495081.48379330337,230782.5027059522
4804,172665.963977089,208007.73655979784,179429.6290971171,112868.03773967306,0.0,168242.84184341927,1.2046829135717427,0.542614614272692,664768.472030099,336485.68368683854
4807,171730.5503435057,238952.0165613719,179330.22074184896,231817.4144681834,1.0,205457.55052872747,1.3914356885365728,0.9701421138987282,950235.585479344,616372.6515861824
4808,171730.5503435057,238952.0165613719,179330.22074184896,111273.01289317563,0.0,175321.45013497552,1.3914356885365728,0.4656709514068104,802044.9626996059,350642.90026995103
4811,172665.963977089,241265.3590697545,179429.6290971171,230019.0150675157,1.0,205844.99180286907,1.3972954108104978,0.9533859976974952,941681.343870524,617534.9754086072
4812,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,600642.7421098999,377041.5702642837
4813,107436.10842519069,105578.46328353092,179858.45591844554,112788.20739951244,0.0,126415.30875666993,0.982709303511901,1.0682880190778254,529636.4977971168,379245.9262700097
4815,107130.4701757773,105749.561377748,179545.8873685221,112477.50920402698,0.0,126225.8570315186,0.9871100276443232,1.0636215199151746,501153.4994534245,252451.7140630372
4816,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,494153.90352258016,251361.04684285575
4817,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,486534.56932046456,125680.52342142788
4818,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,494153.90352258016,251361.04684285575
4820,107488.99195811144,105639.55341174745,179896.7978490805,112160.1528600354,0.0,126296.3740197437,0.982794158604934,1.0617249811896794,529138.2023125621,252592.7480394874
4821,172053.2543386296,199807.6444347632,179896.7978490805,195975.29428124885,1.0,186933.24772593053,1.1613127877276126,0.980819802138519,788766.2791331578,560799.7431777916
4823,173673.43080244618,182533.2164959364,153841.46762204802,112477.50920402698,0.0,155631.4060311144,1.0510140535112549,0.6162029649322199,693236.3326668262,466894.2180933432
